1685000,-0.66,3.05
1690000,-0.65,3.23
1695004,-0.63,3.23
1700000,-0.62,3.17
1705000,-0.60,2.99
1710000,-0.59,3.23
1715000,-0.57,3.17
1720000,-0.55,3.11
1725000,-0.54,2.93
1730000,-0.52,3.23
1735000,-0.51,3.05
1740000,-0.49,3.29
1745000,-0.47,3.35
1750000,-0.46,3.17
1755000,-0.44,3.11
1760000,-0.43,3.17
1765000,-0.41,3.17
1770000,-0.40,3.17
1775000,-0.38,3.17
1780004,-0.36,3.17
1785004,-0.35,2.99
1790000,-0.33,3.35
1795004,-0.32,3.11
1800004,-0.30,3.05
1805000,-0.28,3.35
1810000,-0.27,3.17
1815004,-0.25,3.05
1820000,-0.24,3.05
1825000,-0.22,3.17
1830000,-0.21,3.05
1835000,-0.19,3.17
1840000,-0.17,3.29
1845000,-0.16,3.17
1850004,-0.14,3.17
1855004,-0.13,3.29
1860004,-0.11,3.11
1865000,-0.09,3.29
1870000,-0.08,3.17
1875000,-0.06,3.11
1880004,-0.05,3.05
1885000,-0.03,3.11
1890000,-0.02,3.35
1895000,-0.00,3.11
1900004,0.02,3.29
1905000,0.03,3.05
1910000,0.05,3.29
1915000,0.06,3.05
1920000,0.08,3.29
1925004,0.10,3.23
1930004,0.11,3.29
1935000,0.13,3.05
1940000,0.14,3.11
1945004,0.16,3.35
1950000,0.18,3.11
1955000,0.19,3.05
1960004,0.21,3.29
1965004,0.22,3.11
1970000,0.24,3.23
1975004,0.25,3.17
1980000,0.27,3.17
1985000,0.29,3.17
1990004,0.30,3.23
1995000,0.32,3.05
2000000,0.33,3.11
2005004,0.69,71.28
2010004,2.10,282.26
2015000,4.24,428.72
2020000,6.66,483.90
2025004,8.81,430.12
2030000,10.21,279.02
2035000,10.61,80.24
2040000,10.00,-121.40
2045000,8.72,-257.50
2050000,7.07,-330.00
2055000,5.47,-320.12
2060004,4.28,-237.20
2065004,3.76,-103.11
2070004,3.99,44.88
2075000,4.77,155.79
2080004,5.85,216.83
2085000,6.98,226.16
2090000,7.90,182.62
2095000,8.38,96.04
2100004,8.36,-2.80
2105004,7.92,-88.17
2110000,7.27,-130.37
2115000,6.59,-136.52
2120000,6.03,-111.10
2125004,5.74,-58.78
2130000,5.75,3.41
2135000,6.04,57.01
2140000,6.45,82.56
2145000,6.86,81.22
2150000,7.16,60.91
2155000,7.31,29.09
2160004,7.28,-4.94
2165000,7.14,-29.45
2170000,6.94,-38.78
2175000,6.77,-33.54
2180000,6.69,-17.93
2185000,6.69,1.83
2190004,6.79,18.78
2195000,6.91,25.06
2200004,7.02,21.34
2205000,7.08,11.46
2210000,7.08,-0.43
2215004,7.04,-7.50
2220004,7.00,-7.68
2225000,6.99,-2.26
2230000,7.01,4.51
2235000,7.06,9.33
2240000,7.11,9.63
2245000,7.14,5.98
2250000,7.14,1.52
2255000,7.14,-0.91
2260000,7.14,-0.49
2265004,7.15,2.44
2270000,7.17,5.12
2275004,7.20,5.98
2280000,7.23,4.51
2285000,7.24,2.62
2290000,7.25,1.59
2295004,7.26,1.95
2300000,7.27,3.23
2305000,7.29,4.27
2310000,7.32,4.21
2315000,7.33,3.41
2320000,7.35,2.50
2325004,7.36,2.50
2330000,7.37,2.93
2335004,7.39,3.72
2340004,7.41,3.78
2345000,7.43,3.48
2350000,7.44,3.05
2355000,7.46,2.93
2360000,7.47,3.11
2365000,7.49,3.23
2370000,7.51,3.35
2375000,7.52,3.11
2380000,7.54,3.11
2385000,7.55,2.99
2390004,7.57,3.05
2395000,7.58,3.17
2400000,7.60,3.41
2405000,7.61,2.99
2410000,7.63,2.99
2415000,7.64,2.93
